,0
0,spotify:artist:6futYSDVulYR2PktBjTB5W
1,spotify:artist:46Ce0QmI1mE2bl5VQ4P9N8
2,spotify:artist:5BYcwjrQth7em7maAt0yKE
3,spotify:artist:0vEsuISMWAKNctLlUAhSZC
4,spotify:artist:2L00vHmYcwC9OlsEv6M5UO
5,spotify:artist:5gl2M2G5Dn5XTEW30iMMoD
6,spotify:artist:7xjcFAzlxdwPCfWi3VOuxU
7,spotify:artist:5Zmur9D9gpr6tXyDrpnbOe
8,spotify:artist:6Fwq3TDWpMhcL1KTKVQiI8
9,spotify:artist:0ECZhSd1FeBz0cw711CJYD
10,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq
11,spotify:artist:1GhPHrq36VKCY3ucVaZCfo
12,spotify:artist:1VJckWeb9pxyAtESOoF8Xc
13,spotify:artist:7a4td2FhkuH58dApiBvnrv
14,
15,spotify:artist:2vd2HnNh4pdYa9gDVHFjEu
16,spotify:artist:45TgXXqMDdF8BkjA83OM7z
17,spotify:artist:4nI8wqhtfCFOYX3vvicEN0
18,spotify:artist:0X380XXQSNBYuleKzav5UO
19,spotify:artist:5RjqSn7vYk8Qb9GeLWRRhB
20,spotify:artist:4hxDvVq5t8ebPYPdBl1F9f
21,spotify:artist:6o8sDniHcZPM1SixvjKiYS
22,spotify:artist:5fIZHCg2de8322HZodBDWL
23,spotify:artist:26Kq9bSJsElA93PflKEB1A
24,spotify:artist:58R31AvN8JMHM7xkNpVLjX
25,spotify:artist:3K2zB87GZv1krx031en5VA
26,spotify:artist:0eHQ9o50hj6ZDNBt6Ys1sD
27,spotify:artist:1aEYCT7t18aM3VvM6y8oVR
28,spotify:artist:2LIdnZDzySb04oH40be1fR
29,spotify:artist:5qUHCOUsvVKUpVrMMmztMK
30,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
31,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
32,spotify:artist:4znPt0HV6Ik0iR8sR4GAJE
33,spotify:artist:1qpR5mURxk3d8f6mww6uKT
34,spotify:artist:041iTeoMIwXMlShuQPIVKo
35,spotify:artist:55Aa2cqylxrFIXC767Z865
36,spotify:artist:6QkKHEaumza77QdEqZtvnY
37,spotify:artist:2yBf6Fa7M4au47AL1u1N7r
38,spotify:artist:6sFHvCyqklnJpXC9Nh1aag
39,spotify:artist:0DYWCXTkNqGFZIf67SrWEa
40,spotify:artist:2snm3HmsnDUDxbIChdl2Oj
41,spotify:artist:0cA5Tg15TwARIRZeiNT1RO
42,spotify:artist:64EHXDoln95lnccszdPum0
43,spotify:artist:2qdONMCoDngQk0eV4Avs1i
44,spotify:artist:0B137YiauKjFHjyt6ikxGK
45,spotify:artist:5FHwr1FymaS5kutIEK6e2y
46,spotify:artist:0ihJnGEjNnbM6uuTn3RHMo
47,spotify:artist:3wc57nV2fGEoM8x4xPK1O9
48,spotify:artist:52K4ArhA4OgMO7AsyEgqCT
49,spotify:artist:1kjO72M26jZkv0aaGxJaov
50,spotify:artist:2t5yZKDT7oAMkOFkoToViO
51,spotify:artist:1POwuKLQ9xhMZzIYElNtWp
52,spotify:artist:0yNSzH5nZmHzeE2xn6Xshb
53,spotify:artist:0tBx19i6OAx0Z3gGiDtsTO
54,spotify:artist:41ekW4MXG59xJMXR8dX1OG
55,spotify:artist:4HgF4KnohByNElYid7iCNb
56,spotify:artist:79qRD2IfSr3pmuYUficMWX
57,spotify:artist:13ubrt8QOOCPljQ2FL1Kca
58,spotify:artist:5aD0uh1BpYTN7AzhiSDgaO
59,
60,spotify:artist:77SW9BnxLY8rJ0RciFqkHh
61,spotify:artist:47LEGQCc9FShxKmbod8u7e
62,spotify:artist:0o7WWONtleH6PWLn5GIoCM
63,spotify:artist:0QHgL1lAIqAw0HtD7YldmP
