track_id,artists,tracks,artist_id,track_popularity,track_url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
62bOmKYxYg7dhrC6gH9vFn,*NSYNC,bye bye bye,6Ff53KvcvAj5U7Z1vojB5o,71.0,https://p.scdn.co/mp3-preview/612fd571c0216fa3f2523a77a83abd794c8d9478?cid=72c9f2b9d3344c91af50a24f4144228f,0.031,0.61,0.926,0.0012,0.0821,-4.843,0.0479,172.638,0.861
,*NSYNC,it s gonna be me,,,,,,,,,,,,
,*NSYNC,tearin  up my heart,,,,,,,,,,,,
4CCUjYJPbSXLL23BFeBVbI,*NSYNC,gone,6Ff53KvcvAj5U7Z1vojB5o,52.0,https://p.scdn.co/mp3-preview/eea62070ce8779960f653d7f409531f997ceac57?cid=72c9f2b9d3344c91af50a24f4144228f,0.43,0.704,0.409,0.0,0.109,-8.581,0.0597,113.863,0.495
4v9WbaxW8HdjqfUiWYWsII,*NSYNC,"merry christmas, happy holidays",6Ff53KvcvAj5U7Z1vojB5o,39.0,https://p.scdn.co/mp3-preview/158f2eafaa4f03f58cede428618768126aa4d5a7?cid=72c9f2b9d3344c91af50a24f4144228f,0.104,0.643,0.939,0.0,0.881,-3.967,0.0463,104.999,0.756
0gbysjaH16DW29QpUnowcx,*NSYNC,it makes me ill,6Ff53KvcvAj5U7Z1vojB5o,46.0,https://p.scdn.co/mp3-preview/c00dc4528ddf44eb0717759750a1464c6c878279?cid=72c9f2b9d3344c91af50a24f4144228f,0.00993,0.81,0.858,1.2e-05,0.0528,-4.658,0.0873,104.504,0.646
46n2EGFnPC3tzWCN1Aqe26,*NSYNC,this i promise you,6Ff53KvcvAj5U7Z1vojB5o,66.0,https://p.scdn.co/mp3-preview/0b9a69ffaf5fbb5217f65bd6bc0c7de144a2721d?cid=72c9f2b9d3344c91af50a24f4144228f,0.354,0.55,0.587,0.0,0.128,-6.279,0.0329,165.975,0.466
0Jc8qF1mUPo1A96HE9QxZz,*NSYNC,pop,6Ff53KvcvAj5U7Z1vojB5o,57.0,https://p.scdn.co/mp3-preview/edcadba3c2b60c2f5767ccf14ce2f817f1027395?cid=72c9f2b9d3344c91af50a24f4144228f,0.0341,0.706,0.861,0.0,0.127,-6.684,0.154,119.946,0.923
221LRlPHPuevgE1tuUlof9,*NSYNC,i want you back,6Ff53KvcvAj5U7Z1vojB5o,60.0,https://p.scdn.co/mp3-preview/3cbf84331a097fd1b1c98aba650657a88a7b3092?cid=72c9f2b9d3344c91af50a24f4144228f,0.0521,0.751,0.939,0.00056,0.477,-3.305,0.0466,112.041,0.905
,*shels,butterflies on luci s way,,,,,,,,,,,,
2hsljPUHPA1L5B4uZIo0Sg,*shels,journey to the plains,0Ivm3PYwfVFeq2trxYqLi2,34.0,https://p.scdn.co/mp3-preview/58839ae0b9a0bedb4772bccc026ac6dcb7c5f32d?cid=72c9f2b9d3344c91af50a24f4144228f,0.0056,0.349,0.684,0.957,0.109,-7.645,0.0586,120.072,0.106
,Shels,plains of the purple buffalo pt. 2,,,,,,,,,,,,
3wbGsUYUxJkGElBItCB2Nj,*shels,the conference of the birds,0Ivm3PYwfVFeq2trxYqLi2,35.0,https://p.scdn.co/mp3-preview/74d162110f5d3be09cd0ce1d58a844b344df27de?cid=72c9f2b9d3344c91af50a24f4144228f,0.0145,0.262,0.412,0.55,0.135,-8.461,0.0353,154.376,0.0385
7vAOaZsR2tdcvHCnl3bhsU,*shels,conqueror,0Ivm3PYwfVFeq2trxYqLi2,14.0,https://p.scdn.co/mp3-preview/00f36e6cd09ba8af798e02b192e0b4a99a525e26?cid=72c9f2b9d3344c91af50a24f4144228f,0.0356,0.408,0.411,0.319,0.0847,-13.818,0.0356,134.082,0.133
4clrAfdFqNgwzflLDqqjqJ,*shels,the spirit horse,0Ivm3PYwfVFeq2trxYqLi2,14.0,https://p.scdn.co/mp3-preview/1071a64de2a75158895693c5746497c55e41c380?cid=72c9f2b9d3344c91af50a24f4144228f,0.00127,0.38,0.725,0.896,0.0505,-10.39,0.0833,124.777,0.145
6m3SrU56l5J9yCZZ1ePh8w,*shels,vision quest,0Ivm3PYwfVFeq2trxYqLi2,19.0,https://p.scdn.co/mp3-preview/2c5394c5e1abffcefa85009dcb62e099aa8a9941?cid=72c9f2b9d3344c91af50a24f4144228f,0.499,0.214,0.551,0.82,0.0738,-8.903,0.0444,110.184,0.202
3YPNWuPO2lUx64DlzrjL4b,*shels,atoll,0Ivm3PYwfVFeq2trxYqLi2,15.0,https://p.scdn.co/mp3-preview/4de7b2b96de58d37e3b820b244e179c32af36ba0?cid=72c9f2b9d3344c91af50a24f4144228f,0.995,0.145,0.0136,0.975,0.05,-34.301,0.0457,79.196,0.0377
48WbbabDVnaitQgj4f3039,1 Giant Leap,my culture,1FrtBRcnPjZjaE9wWMANck,16.0,https://p.scdn.co/mp3-preview/ae366df65c41a3e8523b588d6f381ad326ec8ec2?cid=72c9f2b9d3344c91af50a24f4144228f,0.0934,0.562,0.859,0.0,0.981,-8.295,0.12,92.514,0.431
,1 Giant Leap,braided hair,,,,,,,,,,,,
,1 Giant Leap,passion,,,,,,,,,,,,
,1 Giant Leap,daphne,,,,,,,,,,,,
,1 Giant Leap,arrival,,,,,,,,,,,,
,1 Giant Leap,the way you dream,,,,,,,,,,,,
,1 Giant Leap,all alone (on eilean shona),,,,,,,,,,,,
,1 Giant Leap,racing away,,,,,,,,,,,,
,1 Giant Leap,ma  africa,,,,,,,,,,,,
0GHRVjxxKDpFBHKMfoTiQ2,1000mods,vidage,7EgAHTw2PMP7a1tAEtue89,47.0,https://p.scdn.co/mp3-preview/37c1fbfd43c4053d16a183d49425334bbd864d01?cid=72c9f2b9d3344c91af50a24f4144228f,0.00821,0.416,0.722,0.789,0.138,-7.746,0.0379,119.018,0.305
5WwuCMgmm2ADpubXo4qmUz,1000mods,she,7EgAHTw2PMP7a1tAEtue89,31.0,https://p.scdn.co/mp3-preview/de38bed8e426f31eeddf32dc7f5a26867ea88ce8?cid=72c9f2b9d3344c91af50a24f4144228f,0.00353,0.306,0.549,0.0851,0.319,-6.747,0.0317,120.339,0.278
0pojbrpMtuUWzojK1F7wOU,1000mods,electric carve,7EgAHTw2PMP7a1tAEtue89,37.0,https://p.scdn.co/mp3-preview/ef13f6b7b07171b65c4c222075f04d7e46c0b586?cid=72c9f2b9d3344c91af50a24f4144228f,0.000101,0.324,0.869,0.229,0.138,-6.474,0.0451,165.501,0.491
2RNzwwqSro8Gcuu3svSrhM,1000mods,low,7EgAHTw2PMP7a1tAEtue89,36.0,https://p.scdn.co/mp3-preview/b43089d233bbc501ba2bcc9a336771b758de6953?cid=72c9f2b9d3344c91af50a24f4144228f,0.00203,0.34,0.696,0.124,0.0931,-9.238,0.0337,128.045,0.199
4kyesMU5MvTLGKczuhKnVn,1000mods,road to burn,7EgAHTw2PMP7a1tAEtue89,40.0,https://p.scdn.co/mp3-preview/3e59afc6eef70f30721ece30ad82cdbeda0a76e5?cid=72c9f2b9d3344c91af50a24f4144228f,0.0126,0.26,0.684,0.646,0.114,-9.513,0.039,105.261,0.2
1gl4nHeddPsq9bCaxHFJiW,1000mods,claws,7EgAHTw2PMP7a1tAEtue89,34.0,https://p.scdn.co/mp3-preview/fdc8ddef8622a35c874ca743a25328c595fea3b1?cid=72c9f2b9d3344c91af50a24f4144228f,0.00542,0.208,0.843,0.272,0.124,-7.68,0.0536,174.46,0.251
2XUkUPWXa5RZP2hGQtXVcR,1000mods,loose,7EgAHTw2PMP7a1tAEtue89,30.0,https://p.scdn.co/mp3-preview/6b5c40d7f213ee18a7577d540027c176b69663a0?cid=72c9f2b9d3344c91af50a24f4144228f,3.41e-05,0.142,0.64,0.369,0.136,-7.797,0.0375,179.953,0.0577
